大陆,#genre#
CCTV1综合超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476879.m3u8
CCTV2财经高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476881.m3u8
CCTV3综艺超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476882.m3u8
CCTV4中文国际高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476884.m3u8
CCTV5体育超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476886.m3u8
CCTV5+体育赛事超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476888.m3u8
cctv5+体育赛事高清(备）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476889.m3u8
CCTV6电影高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476890.m3u8
CCTV7国防军事高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476891.m3u8
CCTV8电视剧高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476892.m3u8
CCTV-9纪录超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476893.m3u8
CCTV10 HD科教超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476895.m3u8
CCTV11戏曲高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476897.m3u8
CCTV12社会与法高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476898.m3u8
CCTV13新闻高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476899.m3u8
CCTV13新闻（备）,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV14少儿高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476900.m3u8
CCTV15音乐高清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476901.m3u8
CCTV-16奥林匹克,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476902.m3u8
CCTV 4K,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476942.m3u8
卫视,#genre#
东南卫视,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/480057.m3u8
湖南卫视超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476903.m3u8
江苏卫视超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476905.m3u8
东方卫视超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476907.m3u8
浙江卫视超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476909.m3u8
北京卫视超清,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476911.m3u8
