📺YouTube 新聞,#genre#
民視新聞,http://www.youtube.com/watch?v=ylYJSBUgaMA
民視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-ftv13
三立iNews,http://www.youtube.com/live/pF507BLtbqU?si=zWlvXBXQIOtYIcFt
三立News+海外,http://www.youtube.com/live/FoBfXvlOR6I?si=uWNrMfGOiTk66btU
三立NEWS+,https://m.youtube.com/watch?v=FoBfXvlOR6
三立新聞,http://www.youtube.com/watch?v=uZ9KecuS0RA
公視新聞,http://www.youtube.com/watch?v=quwqlazU-c8
公視新聞,http://www.youtube.com/live/quwqlazU-c8?si=e-d0Ns2EB36iyW_3
非凡商業,http://www.youtube.com/watch?v=NHQDx8vCrC4
台視新聞,http://www.youtube.com/watch?v=xL0ch83RAK8
台視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv051
台視新聞,http://www.youtube.com/live/xL0ch83RAK8?si=6PbDs2DOrlT9Og14
華視新聞,http://m.youtube.com/watch?v=wM0g8EoUZ_E
華視新聞,http://37.27.111.214:8080/live/8/hls.m3u8
華視新聞,https://litv.zapi.us.kg/?id=4gtv-4gtv052
華視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv052
華視新聞,http://www.youtube.com/watch?v=wM0g8EoUZ_E
鏡新聞,http://www.youtube.com/live/5n0y6b0Q25o?si=xubbPSDWCPgY2yxM
鏡新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv075
寰宇新聞,http://m.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-longturn14
寰宇新聞,http://www.youtube.com/live/6IquAgfvYmc?si=pOtAi2jJyFbMjUNk
寰宇新聞台灣台,http://m.youtube.com/live/w87VGpgd90U
寰宇新聞台灣台,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-longturn15
東森LIVE,http://www.youtube.com/watch?v=R2iMq5LKXco
東森LIVE,https://m.youtube.com/watch?v=E0zhe2gkXBs
東森LIVE,https://clonglii.serv00.net/youtube_d.php?id=E0zhe2gkXBs&data=normal
東森新聞,http://www.youtube.com/watch?v=V1p33hqPrUk
東森新聞,https://m.youtube.com/watch?v=LuQ4S-i5zoE
東森新聞,http://37.27.111.214:8080/live/20/hls.m3u8
東森新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv152
東森財經新聞,http://www.youtube.com/live/WHEPzbFA3hw
東森財經新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv153
東森財經股市,http://www.youtube.com/watch?v=LbS-xQ67fos
中天新聞1台,http://www.youtube.com/watch?v=oIgbl7t0S_w
中天新聞2台,http://www.youtube.com/watch?v=WPfPjbOLNfE
中視新聞,http://www.youtube.com/watch?v=TCnaIE_SAtM
中視新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv074
中視新聞,https://litv.zapi.us.kg/?id=4gtv-4gtv074
創世電視,https://cdn.deepcore.online/hlsme/ctv_hk.m3u8&data=normal
TVBS新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv072
TVBS新聞,https://litv.zapi.us.kg/?id=4gtv-4gtv072
TVBS新聞,http://www.youtube.com/watch?v=2mCSYvcfhtc
TVBS新聞,https://m.youtube.com/watch?v=2mCSYvcfhtc
TVBS新聞,https://clonglii.serv00.net/youtube_d.php?id=2mCSYvcfhtc&data=normal
TVBS新聞,https://clonglii.serv00.net/youtube_d.php?id=2mCSYvcfhtc&ln=2&data=normal
TVBS新聞,http://www.youtube.com/watch?v=2mCSYvcfhtcK
中天新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv00
中天新聞,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8541/.m3u8
中天新聞,https://litv.zapi.us.kg/?id=4gtv-4gtv009
中天新聞,http://www.youtube.com/live/oIgbl7t0S_w?feature=share
半島新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/litv-ftv10
非凡新聞,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv010
非凡新聞,https://litv.zapi.us.kg/?id=4gtv-4gtv010
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS NEWS,http://www.youtube.com/watch?v=m_dhMSvUCIc
TVBS NEWS,https://m.youtube.com/watch?v=m_dhMSvUCIc
閩鏡新聞,https://litv.zapi.us.kg/?id=4gtv-4gtv075
台視財經,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv056
台視財經台,https://litv.zapi.us.kg/?id=4gtv-4gtv056
國際財經,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv104
台視台灣台,rtmp://f13h.mine.nu/sat/tv071
台視台灣台,https://litv.zapi.us.kg/?id=4gtv-4gtv066
台視台灣台,https://litv.zapi.us.kg/?id=4gtv-4gtv002
台視,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv066
中視,http://37.27.111.214:8080/live/7/hls.m3u8
中視,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv040
中視台灣台,rtmp://f13h.mine.nu/sat/tv091
中視台灣台,https://litv.zapi.us.kg/?id=4gtv-4gtv040
華視,https://distant-dita-bobyang03-1e6eec5a.koyeb.app/litv/4gtv-4gtv041
華視台灣台,rtmp://f13h.mine.nu/sat/tv111
